categoria,sub_categoria,nombre_product,sku,url_general,url_product,price_original,precio_oferta,promo_producto,type_promo_by_product,bonus_product,type_bonus_by_product,time_update
Jugos y bebidas,Refrescos,Agua Mineral Peñafiel 1 L Botella,7501073830028_A,https://www.soriana.com/jugos-y-bebidas/,/agua-mineral-penafiel-1-l-botella/658232.html,20.90,0.0,3 x 2,,Puntos 'dobles' al pagar con 'FALABELLA',,2026-07-01
Jugos y bebidas,Refrescos,Refresco Coca Cola Light 8 Pack Lata 235 ml,7501055349890_A,https://www.soriana.com/jugos-y-bebidas/,/refresco-coca-cola-light-8-pack-lata-235-ml/11079045.html,143.00,0.0,20% en Dinero electrónico,,Puntos 'dobles' al pagar con 'FALABELLA',,2026-07-01
Jugos y bebidas,Refrescos,Refresco Coca Cola Original 600 ml,0000075007614_A,https://www.soriana.com/jugos-y-bebidas/,/refresco-coca-cola-original-600-ml/245837.html,23.00,0.0,20% en Dinero electrónico,,Gratis con 160 Puntos,Puntos 'dobles' al pagar con 'FALABELLA',2026-07-01
Jugos y bebidas,Refrescos,Refresco Squirt 2.5 lt,7501071120411_A,https://www.soriana.com/jugos-y-bebidas/,/refresco-squirt-2.5-lt/1110937.html,41.50,0.0,4 x 3,,Gratis con 400 Puntos,Puntos 'dobles' al pagar con 'FALABELLA',2026-07-01
Jugos y bebidas,Refrescos,Refresco 7 Up sabor Lima Limón 2.5 L,7501022014639_A,https://www.soriana.com/jugos-y-bebidas/,/refresco-7-up-sabor-lima-limon-2.5-l/11561967.html,38.50,0.0,4 x 3,,Gratis con 400 Puntos,Puntos 'dobles' al pagar con 'FALABELLA',2026-07-01
Jugos y bebidas,Refrescos,Refresco Casera Sangria 600 ml,7501505630073_A,https://www.soriana.com/jugos-y-bebidas/,/refresco-casera-sangria-600-ml/1036281.html,18.00,0.0,4 x 3,,Gratis con 160 Puntos,Puntos 'dobles' al pagar con 'FALABELLA',2026-07-01
Jugos y bebidas,Refrescos,Refresco Coca Cola Zero 600 ml,7501055320639_A,https://www.soriana.com/jugos-y-bebidas/,/refresco-coca-cola-zero-600-ml/3040115.html,17.50,0.0,20% en Dinero electrónico,,Gratis con 160 Puntos,Puntos 'dobles' al pagar con 'FALABELLA',2026-07-01
Jugos y bebidas,Refrescos,Refresco 7 Up sabor Lima Limón 600 ml,7501022014585_A,https://www.soriana.com/jugos-y-bebidas/,/refresco-7-up-sabor-lima-limon-600-ml/11528152.html,18.00,0.0,4 x 3,,Gratis con 160 Puntos,Puntos 'dobles' al pagar con 'FALABELLA',2026-07-01
Jugos y bebidas,Refrescos,Refresco Pepsi Black sin Azúcar 355 ml,7501022013861_A,https://www.soriana.com/jugos-y-bebidas/,/refresco-pepsi-black-sin-azucar-355-ml/11425965.html,7.30,0.0,,,Puntos 'dobles' al pagar con 'FALABELLA',,2026-07-01
Jugos y bebidas,Refrescos,Refresco Red Cola Original 3 L,0793573950079_A,https://www.soriana.com/jugos-y-bebidas/,/refresco-red-cola-original-3-l/3102227.html,35.00,0.0,,,Gratis con 400 Puntos,Puntos 'dobles' al pagar con 'FALABELLA',2026-07-01
